Object ID,DepartmentCategorical,Object Name,Title,CultureCategorical,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,CountryCategorical
1674,0,side chair,side chair,0,american,1794,1799,"mahogany, ebony, ash, birch, white pine","friends of the american wing fund, 1962",0
2430,0,pitcher,covered pitcher,0,american,1700,1900,earthenware,"rogers fund, 1913",0
6406,0,plate,plate,1,nederlandish,1740,1760,earthenware,"rogers fund, 1933",1
7616,0,soup bowl,soup bowl,0,american,1885,1885,porcelain,"gift of mr. and mrs. franklin chace, 1969",0
15012,0,"painting, miniature",portrait of a lady,0,american,1840,1840,watercolor on ivory,"fletcher fund, 2006",0
23510,1,arrowhead (yanonē),arrowhead (yanonē),2,japanese,1701,1800,steel,"the collection of giovanni p. morosini, presented by his daughter giulia, 1932",2
29920,1,knife handle (kozuka),knife handle (kozuka),2,japanese,1770,1852,"copper-gold alloy (shakudō), copper-silver alloy (shibuichi), gold","the howard mansfield collection, gift of howard mansfield, 1936",2
32848,1,coin (thaler),coin (thaler) showing august i (the pious) of saxony,3,german,1580,1580,silver,"gift of bashford dean, 1923",3
34014,1,two drawings,drawings showing combat on foot (champ clos),3,german,1501,1600,"pen, ink and watercolor on paper","bashford dean memorial collection, funds from various donors, 1929",3
34308,1,partisan,partisan,3,german,1701,1800,"steel, wood, textile, metallic thread","bashford dean memorial collection, gift of edward s. harkness, 1929",3
34477,1,sword guard (tsuba),sword guard (tsuba),2,japanese,1590,1900,"iron, gold, silver, copper","h. o. havemeyer collection, bequest of mrs. h. o. havemeyer, 1929",2
35163,1,dirk with sheath,dirk with sheath,4,spanish,1800,1850,"steel, horn, brass, leather, copper wire","gift of rutherfurd stuyvesant, 1891",-1
39917,2,hanging scroll mounted as handscroll,,5,chinese,1037,1101,hanging scroll mounted as a handscroll; ink on paper,"bequest of john m. crawford jr., 1988",4
43092,2,girdle ornament,,5,chinese,-206,1866,jade,"gift of samuel t. peters, 1913",4
53280,2,bracelet,,6,thais,-300,400,bronze,"samuel eilenberg collection, bequest of samuel eilenberg, 1998",5
54547,2,print,,2,japanese,1800,1899,polychrome woodblock print (surimono); ink and color on paper,"h. o. havemeyer collection, bequest of mrs. h. o. havemeyer, 1929",2
54626,2,album leaf,,2,japanese,1877,1897,album leaf; ink and color on silk,"charles stewart smith collection, gift of mrs. charles stewart smith, charles stewart smith jr., and howard caswell smith, in memory of charles stewart smith, 1914",2
55442,2,print,,2,japanese,1838,1838,polychrome woodblock print; ink and color on paper,"rogers fund, 1922",2
58899,2,inrō,,2,japanese,1800,1899,"lacquer, hirame ground, gold, red, silver and brown hiramakie, raden inlay; interior: nashiji and fundame","the howard mansfield collection, purchase, rogers fund, 1936",2
62174,2,basket,,2,japanese,1800,1899,bamboo,"edward c. moore collection, bequest of edward c. moore, 1891",2
67976,2,piece,,2,japanese,1800,1899,silk / brocaded,"rogers fund, 1909",2
72803,2,hanging scroll,近代  蟬竹圖      軸|bamboo and cicada,5,chinese,1966,1966,hanging scroll; ink and color on paper,"the lin yutang family collection, gift of richard m. lai, jill lai miller, and larry c. lai, in memory of taiyi lin lai, 2005",4
77166,2,drawing,,7,indian,1790,1810,ink on paper,"gift of cynthia hazen polsky, 2011",6
80735,3,belt,belt,2,japanese,1983,1987,"leather, metal","gift of linda a. rosenthal, 1993",2
81291,3,pumps,pumps,8,british,1980,1989,leather,"gift of holly solomon, 1999",7
81451,3,evening dress,evening dress,0,american,1983,1984,rayon,"gift of calvin klein, inc., 1998",0
83780,3,shoes,shoes,9,italian,1983,1989,synthetic,"gift of muriel kallis newman, 2002",8
90373,3,earrings,earrings,10,european,1700,1899,metal,"rogers fund, 1909",9
96100,3,evening dress,evening dress,11,french,1966,1967,[no medium available],"gift of mrs. william rand, 1975",10
98251,3,cap,cap,11,french,1800,1899,wool,museum accession,10
100359,3,hat,hat,11,french,1949,1949,"wool, cotton","gift of mary s. ryan, 1981",10
114490,3,mules,mules,0,american,1959,1959,"leather, wood, metal glass","gift of beth and herbert levine, 1977",0
119757,3,gloves,gloves,11,french,1950,1959,leather,"gift of mrs. stowe c. phelps, 1980",10
127104,3,ensemble,ensemble,12,romanian,1800,1939,"linen, wool","gift of miss irene lewisohn and alice lewisohn crowley, 1939",11
129839,3,ensemble,ensemble,8,british,1976,1980,"a) leather; b) leather, metal","purchase, richard martin bequest and friends of the costume institute gifts, 2006",7
145237,3,necklace,necklace,0,american,1967,1967,"synthetic, metal","gift of martin f. price, 2017",0
146150,3,jacket,jacket,0,american,2003,2004,"leather, wool","catharine breyer van bomel foundation fund, 2008",0
168579,3,chemisette,chemisette,0,american,1875,1899,cotton,"brooklyn museum costume collection at the metropolitan museum of art, gift of the brooklyn museum, 2009; gift of louise m. coleman, 1941",0
168781,3,fan,fan,10,european,1776,1799,"ivory, paper","brooklyn museum costume collection at the metropolitan museum of art, gift of the brooklyn museum, 2009; gift of george arents in memory of annie walter arents, 1949",9
169926,3,undersleeves,undersleeves,0,american,1848,1852,linen,"brooklyn museum costume collection at the metropolitan museum of art, gift of the brooklyn museum, 2009; gift of the jason and peggy westerfield collection, 1969",0
170041,3,evening shoes,evening shoes,0,american,1938,1943,"leather, metallic","brooklyn museum costume collection at the metropolitan museum of art, gift of the brooklyn museum, 2009; gift of colonel and mrs. horace figuers, 1973",0
174460,3,ensemble,ensemble,0,american,1950,1950,wool,"brooklyn museum costume collection at the metropolitan museum of art, gift of the brooklyn museum, 2009; gift of mrs. albert ogden in memory of sheldon stewart, 1964",0
187639,4,knife and fork with case,knife and fork with case,13,greek,1700,1750,"steel, silver, niello; case:  leather, silver, niello","gift of r. stuyvesant, 1893",12
190199,4,swags,set of five swags,11,french,1700,1799,gilt bronze,"gift of j. pierpont morgan, 1906",10
194582,4,jug with cover,jug with cover,3,german,1755,1765,stoneware,"gift of mrs. robert w. de forest, 1920",3
198408,4,plaque,marriage of peleus and thetis,9,italian,1570,1580,bronze,"samuel d. lee fund, 1939",8
200381,4,snuffbox,snuffbox,3,german,1770,1780,gold,"bequest of catherine d. wentworth, 1948",3
201480,4,chess set,chess set,3,german,1800,1899,metal,"gift of gustavus a. pfeiffer, 1953",3
203525,4,toy,partridges in wheatsheaf,8,british,1750,1760,soft-paste porcelain,"gift of irwin untermyer, 1964",7
211642,4,souvenir spoon,souvenir spoon,10,european,1885,1899,gilt and enamel,"gift of sir william h. redding, in memory of his wife, 1907",9
218086,4,border,border,9,italian,1600,1699,needle lace,"purchase by subscription, 1909",8
218343,4,fragment,fragment,4,spanish,1800,1815,machine net,"purchase by subscription, 1909",-1
226057,4,borders,borders,11,french,1700,1815,needle lace,"gift of ann payne blumenthal, 1936",10
229526,4,panel,panel,11,french,1775,1780,silk,"gift of mrs. janet s. kaffenburgh in memory of her grandmother mrs. joseph garson of rochester, n.y., 1976",10
236638,4,plaque,head described as that of saint james the elder,3,german,1800,1899,iron,"gift of martin and roberta lerner, 2009",3
241148,5,statuette of a seated goddess,terracotta statuette of a seated goddess,14,cyprus,-325,-275,terracotta,"the cesnola collection, purchased by subscription, 1874–76",13
